model_name,accuracy,size_mb,latency_ms,timestamp
MNIST_Baseline,99.34,1.6084365844726562,0.185662713379432,2026-02-15 10:34:43
CIFAR_Baseline,78.37,9.436073303222656,0.5308637299980873,2026-02-15 10:54:24
